Id,Attrition
0,0.15733701
1,0.59141254
2,0.71417785
3,0.6271877
4,0.7157906
5,0.7518572
6,0.85226005
7,0.55774134
8,0.491339
9,0.86243796
10,0.30270597
11,0.50825596
12,0.4820104
13,0.108099006
14,0.70939964
15,0.6481216
16,0.8745724
17,0.5094639
18,0.7518572
19,0.7518572
20,0.81289625
21,0.49857002
22,0.7518572
23,0.5949661
24,0.53155446
25,0.5393599
26,0.39718977
27,0.70528
28,0.5328176
29,0.715271
30,0.67686194
31,0.7518572
32,0.6843976
33,0.58652544
34,0.72986513
35,0.5906447
36,0.80732346
37,0.7343402
38,0.58662784
39,0.74541336
40,0.65140015
41,0.32396913
42,0.3687719
43,0.58498806
44,0.455277
45,0.3046841
46,0.39499038
47,0.48515055
48,0.47774795
49,0.55149734
50,0.5421198
51,0.6197642
52,0.41834024
53,0.65585536
54,0.71417785
55,0.82100934
56,0.30792046
57,0.491339
58,0.8339631
59,0.6011522
60,0.7518572
61,0.81289625
62,0.81477755
63,0.5299459
64,0.47051844
65,0.84141177
66,0.8388448
67,0.5181129
68,0.7518572
69,0.81289625
70,0.5480004
71,0.81289625
72,0.8486919
73,0.34319586
74,0.49661064
75,0.6417813
76,0.7518572
77,0.8128993
78,0.53019977
79,0.4997367
80,0.7518572
81,0.6107732
82,0.40307468
83,0.18104166
84,0.5010879
85,0.97131044
86,0.48472354
87,0.8745724
88,0.7518572
89,0.754541
90,0.7518572
91,0.56625766
92,0.7694203
93,0.37817636
94,0.6962943
95,0.73991585
96,0.54218316
97,0.7518572
98,0.4467969
99,0.7518572
100,0.4252948
101,0.86300915
102,0.5106984
103,0.7518572
104,0.2717213
105,0.5934375
106,0.8521614
107,0.70939964
108,0.5893341
109,0.5694979
110,0.2912884
111,0.3371235
112,0.5712174
113,0.40710518
114,0.65231514
115,0.47327858
116,0.62688154
117,0.81477755
118,0.7901964
119,0.83828604
120,0.60690075
121,0.46169963
122,0.5955125
123,0.7518572
124,0.7518572
125,0.70192623
126,0.49973676
127,0.5605146
128,0.53020304
129,0.7518572
130,0.71347666
131,0.85011697
132,0.5154597
133,0.6332108
134,0.5328176
135,0.6078616
136,0.95322025
137,0.55403423
138,0.54262936
139,0.95322025
140,0.5863428
141,0.90449053
142,0.8461217
143,0.6602597
144,0.40218577
145,0.8486919
146,0.70446724
147,0.3857198
148,0.4499596
149,0.8459104
150,0.7234904
151,0.6065456
152,0.72779983
153,0.47496223
154,0.2992948
155,0.51359606
156,0.56411463
157,0.653159
158,0.5893341
159,0.39002368
160,0.6031515
161,0.48472354
162,0.7518572
163,0.58662784
164,0.35237938
165,0.48447305
166,0.3878438
167,0.67938465
168,0.39421085
169,0.27397135
170,0.5712174
171,0.84462327
172,0.7518572
173,0.77227664
174,0.6835536
175,0.8328092
176,0.5838955
177,0.6176965
178,0.8388448
179,0.3921539
180,0.7518572
181,0.55715346
182,0.8388448
183,0.14878331
184,0.6657104
185,0.81850874
186,0.4086287
187,0.5790803
188,0.40651533
189,0.7518572
190,0.8463377
191,0.5393599
192,0.57762575
193,0.5560196
194,0.5565135
195,0.7956624
196,0.2992948
197,0.5998058
198,0.58965576
199,0.82416004
200,0.6351227
201,0.88749117
202,0.36941645
203,0.22303271
204,0.7518572
205,0.7138427
206,0.24729411
207,0.7237012
208,0.7518572
209,0.7518572
210,0.50348276
211,0.7518572
212,0.32554254
213,0.53552234
214,0.35341728
215,0.8122159
216,0.61958957
217,0.7518572
218,0.4831257
219,0.5790803
220,0.57245064
221,0.88178325
222,0.55604756
223,0.19977395
224,0.40683082
225,0.48515055
226,0.45806527
227,0.8204788
228,0.4831257
229,0.65302026
230,0.37299424
231,0.512753
232,0.59320414
233,0.617817
234,0.63899404
235,0.57156014
236,0.71417785
237,0.6176965
238,0.4681011
239,0.5547681
240,0.40398875
241,0.7138427
242,0.7518572
243,0.57762575
244,0.7725576
245,0.5192142
246,0.5147785
247,0.39281195
248,0.7237012
249,0.32930842
250,0.5130094
251,0.4714143
252,0.38184905
253,0.8745724
254,0.6113682
255,0.41562608
256,0.83973646
257,0.491339
258,0.8521614
259,0.65535814
260,0.58734834
261,0.36696884
262,0.7518572
263,0.6356567
264,0.32510385
265,0.32414275
266,0.75260544
267,0.57355964
